BOOKS
Product no.,Brand,Units,Cost,Transport,Final Cost,Cost per unit,Revenue,Unit Sold,Price per unit,Profit,ROI
1,Medical Microbiology - IMCI,21,2520.00,270.60,2790.60,132.89,4080.00,21,194.29,1289.40,46.21
2,Macleod Clinical,5,1000.00,26.32,1026.32,205.26,1200.00,5,240.00,173.68,16.94
3,Lange Microbiology Guide,10,4000.00,105.26,4105.26,410.53,5200.00,10,520.00,1094.74,26.67
4,Matrix Quick Biology,8,2240.00,85.71,2325.71,290.71,800.00,8,100.00,-1525.71,-65.65
5,Surgical Short Cases,12,5040.00,126.32,5166.32,430.53,5040.00,12,420.00,-126.32,-2.45
6,Arif Anatomy Complete,5,8100.00,177.78,8277.78,1655.56,7190.00,5,1438.00,-1087.78,-13.14
7,Clonus Neurology,6,3090.00,226.67,3316.67,552.78,3480.00,6,580.00,163.33,4.92
8,Endeavour Med & Surg,4,2400.00,142.22,2542.22,635.56,2600.00,4,650.00,57.78,2.27
9,Arif Physio Essentials,3,3690.00,135.00,3825.00,1275.00,3900.00,3,1300.00,75.00,1.96
10,Arif Biochem Series,7,8540.00,460.00,9000.00,1285.71,9100.00,7,1300.00,100.00,1.11
