OT DRESS
Product no.,Colour,Size,Units,Cost,Transport,Final Cost,Cost per unit,Revenue,Unit Sold,Price per unit,Profit,Merchant pay,Merchant Discount,ROI,Inventory
1,Navy,34,3,1645.17,35.61,1680.78,560.26,2100.00,3,700.00,419.22,0.00,0.00,24.95,3
1,Navy,36,7,3840.36,54.76,3895.12,556.45,4900.00,7,700.00,1004.88,0.00,0.00,25.82,7
1,Navy,38,25,13850.43,396.53,14246.96,569.88,17500.00,25,700.00,3253.04,0.00,0.00,22.84,25
1,Navy,40,20,11092.98,298.86,11391.84,569.59,14000.00,20,700.00,2608.16,0.00,0.00,22.92,20
1,Navy,42,14,7774.11,135.18,7909.29,564.95,9800.00,14,700.00,1890.71,0.00,0.00,23.88,14
1,Navy,44,4,2201.07,29.45,2230.52,557.63,2800.00,4,700.00,569.48,0.00,0.00,25.51,4
1,Sky,34,1,539.29,4.72,544.01,544.01,700.00,1,700.00,155.99,0.00,0.00,28.67,1
1,Sky,36,2,1095.17,25.31,1120.48,560.24,1400.00,2,700.00,279.52,0.00,0.00,24.91,2
1,Sky,38,7,3847.86,60.90,3908.76,558.39,4900.00,7,700.00,991.24,0.00,0.00,25.36,7
1,Sky,40,7,3847.86,60.90,3908.76,558.39,4900.00,7,700.00,991.24,0.00,0.00,25.36,7
1,Sky,42,4,2219.29,41.15,2260.44,565.11,2800.00,4,700.00,539.56,0.00,0.00,23.83,4
1,Green,34,1,539.29,4.72,544.01,544.01,700.00,1,700.00,155.99,0.00,0.00,28.67,1
1,Green,36,1,539.29,4.72,544.01,544.01,700.00,1,700.00,155.99,0.00,0.00,28.67,1
1,Green,38,3,1628.57,19.74,1648.32,549.44,2100.00,3,700.00,451.68,0.00,0.00,27.41,3
1,Green,40,1,550.00,10.29,560.29,560.29,700.00,1,700.00,139.71,0.00,0.00,24.95,1
1,Green,42,1,539.29,4.72,544.01,544.01,700.00,1,700.00,155.99,0.00,0.00,28.67,1
